gender,gender_num,race/ethnicity,race/ethnicity_num,parental level of education,ple_num,lunch,lunch_num,test preparation course,testprepcourse_num,math score,reading score,writing score,,,,,,,,,,,,,,,,,,,,,,,,,,,
male,1,group E,5,some college,4,standard,0,none,0,0.96,0.82,0.76,,,,,,,,,,,,,,,,,,,,,,0.13,0.17,0.16,,,
male,1,group E,5,associate's degree,2,standard,0,completed,1,0.74,0.74,0.72,,,,,,,,,,,,,,,,,,,,,,0.14,0.17,0.16,,,
female,0,group D,4,associate's degree,2,standard,0,none,0,0.65,0.74,0.77,,,,,,,,,,,,,,,,,,,,,,0.14,0.17,0.17,,,
female,0,group D,4,some high school,6,free/reduced,1,none,0,0.32,0.5,0.44,,,,,,,,,,,,,,,,,,,,,,0.14,0.17,0.17,,,
female,0,group D,4,associate's degree,2,free/reduced,1,completed,1,0.66,0.86,0.84,,,,,,,,,,,,,,,,,,,,,,0.14,0.17,0.18,,,
male,1,group B,2,associate's degree,2,free/reduced,1,none,0,0.42,0.39,0.42,,,,,,,,,,,,,,,,,,,,,,0.16,0.19,0.18,,,
male,1,group C,3,associate's degree,2,free/reduced,1,none,0,0.39,0.46,0.37,,,,,,,,,,,,,,,,,,,,,,0.16,0.19,0.18,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.43,0.62,0.57,,,,,,,,,,,,,,,,,,,,,,0.16,0.19,0.2,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.36,0.41,0.53,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.2,,,
male,1,group B,2,some college,4,free/reduced,1,completed,1,0.44,0.51,0.54,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.2,,,
female,0,group E,5,associate's degree,2,free/reduced,1,none,0,0.32,0.39,0.37,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.2,,,
male,1,group B,2,associate's degree,2,standard,0,none,0,0.53,0.36,0.42,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.2,,,
female,0,group A,1,associate's degree,2,standard,0,completed,1,0.39,0.51,0.48,,,,,,,,,,,,,,,,,,,,,,0.18,0.2,0.2,,,
female,0,group C,3,high school,5,standard,0,none,0,0.54,0.6,0.68,,,,,,,,,,,,,,,,,,,,,,0.18,0.2,0.2,,,
female,0,group D,4,associate's degree,2,free/reduced,1,completed,1,0.42,0.64,0.68,,,,,,,,,,,,,,,,,,,,,,0.18,0.2,0.2,,,
male,1,group C,3,high school,5,standard,0,completed,1,0.76,0.78,0.76,,,,,,,,,,,,,,,,,,,,,,0.18,0.2,0.21,,,
male,1,group E,5,some college,4,standard,0,none,0,0.36,0.37,0.29,,,,,,,,,,,,,,,,,,,,,,0.18,0.2,0.21,,,
male,1,group E,5,associate's degree,2,free/reduced,1,completed,1,0.69,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,0.18,0.2,0.21,,,
male,1,group C,3,some college,4,standard,0,none,0,0.36,0.22,0.21,,,,,,,,,,,,,,,,,,,,,,0.18,0.2,0.21,,,
male,1,group D,4,high school,5,standard,0,none,0,0.84,0.7,0.66,,,,,,,,,,,,,,,,,,,,,,0.18,0.2,0.21,,,
female,0,group C,3,some high school,6,free/reduced,1,completed,1,0.61,0.78,0.83,,,,,,,,,,,,,,,,,,,,,,0.18,0.2,0.21,,,
female,0,group C,3,high school,5,free/reduced,1,none,0,0.09,0.17,0.22,,,,,,,,,,,,,,,,,,,,,,0.18,0.22,0.21,,,
female,0,group E,5,associate's degree,2,standard,0,completed,1,0.76,0.79,0.81,,,,,,,,,,,,,,,,,,,,,,0.2,0.22,0.22,,,
male,1,group D,4,associate's degree,2,standard,0,none,0,0.35,0.37,0.31,,,,,,,,,,,,,,,,,,,,,,0.2,0.22,0.22,,,
male,1,group D,4,some college,4,standard,0,completed,1,0.43,0.43,0.43,,,,,,,,,,,,,,,,,,,,,,0.2,0.22,0.22,,,
female,0,group C,3,some high school,6,free/reduced,1,none,0,0,0.02,0,,,,,,,,,,,,,,,,,,,,,,0.2,0.23,0.22,,,
male,1,group E,5,bachelor's degree,3,free/reduced,1,completed,1,0.72,0.64,0.62,,,,,,,,,,,,,,,,,,,,,,0.2,0.23,0.22,,,
male,1,group A,1,some high school,6,free/reduced,1,none,0,0.17,0.15,0.1,,,,,,,,,,,,,,,,,,,,,,0.2,0.23,0.22,,,
male,1,group A,1,associate's degree,2,free/reduced,1,none,0,0.48,0.46,0.39,,,,,,,,,,,,,,,,,,,,,,0.21,0.23,0.22,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.58,0.72,0.61,,,,,,,,,,,,,,,,,,,,,,0.21,0.23,0.22,,,
female,0,group D,4,some high school,6,standard,0,none,0,0.44,0.41,0.44,,,,,,,,,,,,,,,,,,,,,,0.21,0.23,0.22,,,
male,1,group B,2,some high school,6,standard,0,none,0,0.55,0.5,0.47,,,,,,,,,,,,,,,,,,,,,,0.21,0.23,0.22,,,
male,1,group D,4,some high school,6,free/reduced,1,none,0,0.25,0.12,0.14,,,,,,,,,,,,,,,,,,,,,,0.21,0.24,0.22,,,
female,0,group C,3,some college,4,standard,0,none,0,0.46,0.61,0.65,,,,,,,,,,,,,,,,,,,,,,0.21,0.24,0.22,,,
male,1,group B,2,associate's degree,2,free/reduced,1,none,0,0.47,0.41,0.4,,,,,,,,,,,,,,,,,,,,,,0.22,0.24,0.24,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.17,0.5,0.42,,,,,,,,,,,,,,,,,,,,,,0.22,0.24,0.24,,,
female,0,group D,4,some college,4,free/reduced,1,completed,1,0.43,0.48,0.64,,,,,,,,,,,,,,,,,,,,,,0.22,0.24,0.24,,,
male,1,group D,4,some college,4,standard,0,completed,1,0.5,0.37,0.5,,,,,,,,,,,,,,,,,,,,,,0.22,0.24,0.24,,,
female,0,group A,1,associate's degree,2,free/reduced,1,none,0,0.2,0.31,0.29,,,,,,,,,,,,,,,,,,,,,,0.22,0.26,0.24,,,
male,1,group C,3,some high school,6,free/reduced,1,none,0,0.47,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,0.24,0.26,0.24,,,
male,1,group C,3,some high school,6,standard,0,none,0,0.31,0.29,0.2,,,,,,,,,,,,,,,,,,,,,,0.24,0.26,0.24,,,
male,1,group B,2,associate's degree,2,free/reduced,1,none,0,0.24,0.17,0.16,,,,,,,,,,,,,,,,,,,,,,0.24,0.26,0.24,,,
male,1,group E,5,some high school,6,standard,0,none,0,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,0.24,0.27,0.25,,,
male,1,group A,1,bachelor's degree,3,standard,0,completed,1,0.73,0.7,0.74,,,,,,,,,,,,,,,,,,,,,,0.24,0.27,0.25,,,
female,0,group D,4,some high school,6,standard,0,completed,1,0.47,0.64,0.62,,,,,,,,,,,,,,,,,,,,,,0.24,0.27,0.25,,,
female,0,group E,5,master's degree,1,standard,0,none,0,0.48,0.55,0.57,,,,,,,,,,,,,,,,,,,,,,0.24,0.27,0.25,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.28,0.29,0.32,,,,,,,,,,,,,,,,,,,,,,0.24,0.27,0.25,,,
male,1,group B,2,high school,5,free/reduced,1,none,0,0.31,0.23,0.25,,,,,,,,,,,,,,,,,,,,,,0.24,0.27,0.25,,,
male,1,group A,1,some college,4,free/reduced,1,completed,1,0.32,0.26,0.37,,,,,,,,,,,,,,,,,,,,,,0.25,0.27,0.25,,,
male,1,group E,5,associate's degree,2,standard,0,none,0,0.62,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,0.25,0.27,0.27,,,
male,1,group D,4,high school,5,free/reduced,1,none,0,0.21,0.15,0.1,,,,,,,,,,,,,,,,,,,,,,0.25,0.27,0.27,,,
female,0,group C,3,some college,4,standard,0,none,0,0.64,0.72,0.76,,,,,,,,,,,,,,,,,,,,,,0.25,0.27,0.27,,,
female,0,group C,3,some college,4,free/reduced,1,none,0,0.68,0.77,0.84,,,,,,,,,,,,,,,,,,,,,,0.25,0.29,0.27,,,
female,0,group D,4,associate's degree,2,standard,0,none,0,0.61,0.6,0.65,,,,,,,,,,,,,,,,,,,,,,0.25,0.29,0.27,,,
female,0,group A,1,some college,4,standard,0,none,0,0.43,0.58,0.55,,,,,,,,,,,,,,,,,,,,,,0.25,0.29,0.27,,,
female,0,group D,4,some high school,6,standard,0,none,0,0.64,0.81,0.76,,,,,,,,,,,,,,,,,,,,,,0.25,0.29,0.27,,,
female,0,group C,3,bachelor's degree,3,standard,0,none,0,0.53,0.61,0.65,,,,,,,,,,,,,,,,,,,,,,0.25,0.29,0.27,,,
male,1,group C,3,high school,5,free/reduced,1,none,0,0,0.08,0.13,,,,,,,,,,,,,,,,,,,,,,0.27,0.29,0.27,,,
male,1,group C,3,high school,5,standard,0,none,0,0.61,0.71,0.61,,,,,,,,,,,,,,,,,,,,,,0.27,0.29,0.27,,,
male,1,group C,3,associate's degree,2,free/reduced,1,completed,1,0.22,0.23,0.32,,,,,,,,,,,,,,,,,,,,,,0.27,0.29,0.28,,,
female,0,group B,2,some college,4,standard,0,none,0,0.72,0.81,0.9,,,,,,,,,,,,,,,,,,,,,,0.27,0.29,0.28,,,
male,1,group C,3,associate's degree,2,free/reduced,1,completed,1,0.7,0.74,0.76,,,,,,,,,,,,,,,,,,,,,,0.27,0.29,0.28,,,
male,1,group B,2,some high school,6,standard,0,completed,1,0.53,0.53,0.48,,,,,,,,,,,,,,,,,,,,,,0.27,0.3,0.28,,,
female,0,group E,5,some college,4,standard,0,completed,1,0.5,0.61,0.59,,,,,,,,,,,,,,,,,,,,,,0.27,0.3,0.28,,,
female,0,group D,4,some college,4,free/reduced,1,none,0,0.43,0.54,0.48,,,,,,,,,,,,,,,,,,,,,,0.27,0.3,0.28,,,
female,0,group D,4,bachelor's degree,3,standard,0,none,0,0.53,0.54,0.48,,,,,,,,,,,,,,,,,,,,,,0.27,0.3,0.28,,,
male,1,group B,2,some college,4,standard,0,none,0,0.72,0.54,0.55,,,,,,,,,,,,,,,,,,,,,,0.27,0.3,0.28,,,
male,1,group D,4,bachelor's degree,3,standard,0,completed,1,0.57,0.64,0.65,,,,,,,,,,,,,,,,,,,,,,0.27,0.3,0.28,,,
female,0,group D,4,associate's degree,2,standard,0,none,0,0.8,0.88,0.85,,,,,,,,,,,,,,,,,,,,,,0.28,0.3,0.28,,,
male,1,group B,2,high school,5,standard,0,completed,1,0.46,0.22,0.28,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.29,,,
male,1,group C,3,some college,4,standard,0,completed,1,0.98,0.81,0.87,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.29,,,
female,0,group C,3,some college,4,standard,0,none,0,0.43,0.54,0.62,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.29,,,
female,0,group D,4,master's degree,1,standard,0,none,0,0.83,1,1,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.29,,,
male,1,group E,5,associate's degree,2,standard,0,completed,1,0.54,0.48,0.51,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.29,,,
female,0,group B,2,associate's degree,2,free/reduced,1,none,0,0.35,0.67,0.59,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.29,,,
female,0,group B,2,some high school,6,standard,0,none,0,0.59,0.5,0.62,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.29,,,
female,0,group D,4,associate's degree,2,free/reduced,1,completed,1,0.69,0.85,0.98,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.29,,,
male,1,group C,3,high school,5,standard,0,none,0,0.48,0.37,0.31,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.31,,,
male,1,group A,1,associate's degree,2,standard,0,none,0,0.37,0.34,0.28,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.31,,,
female,0,group D,4,some college,4,standard,0,none,0,0.33,0.41,0.37,,,,,,,,,,,,,,,,,,,,,,0.29,0.31,0.31,,,
female,0,group E,5,bachelor's degree,3,standard,0,completed,1,0.99,1,1,,,,,,,,,,,,,,,,,,,,,,0.29,0.31,0.31,,,
male,1,group C,3,high school,5,standard,0,none,0,0.79,0.68,0.65,,,,,,,,,,,,,,,,,,,,,,0.29,0.31,0.31,,,
female,0,group B,2,bachelor's degree,3,free/reduced,1,none,0,0.66,0.79,0.76,,,,,,,,,,,,,,,,,,,,,,0.29,0.31,0.31,,,
female,0,group D,4,bachelor's degree,3,standard,0,none,0,0.7,0.75,0.72,,,,,,,,,,,,,,,,,,,,,,0.29,0.31,0.31,,,
female,0,group D,4,some high school,6,standard,0,none,0,0.33,0.48,0.47,,,,,,,,,,,,,,,,,,,,,,0.29,0.31,0.31,,,
female,0,group C,3,some college,4,standard,0,none,0,0.39,0.57,0.53,,,,,,,,,,,,,,,,,,,,,,0.29,0.33,0.31,,,
female,0,group C,3,bachelor's degree,3,standard,0,completed,1,0.72,0.89,0.85,,,,,,,,,,,,,,,,,,,,,,0.29,0.33,0.32,,,
male,1,group B,2,associate's degree,2,standard,0,completed,1,0.88,0.85,0.9,,,,,,,,,,,,,,,,,,,,,,0.29,0.33,0.32,,,
female,0,group C,3,some college,4,standard,0,completed,1,0.84,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,0.29,0.33,0.32,,,
male,1,group D,4,high school,5,free/reduced,1,none,0,0.5,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,0.29,0.33,0.32,,,
male,1,group E,5,some college,4,standard,0,none,0,0.77,0.72,0.64,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.32,,,
female,0,group B,2,high school,5,standard,0,none,0,0.83,0.93,0.81,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.32,,,
male,1,group B,2,some high school,6,standard,0,none,0,0.62,0.55,0.55,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.32,,,
male,1,group D,4,some college,4,standard,0,completed,1,0.53,0.68,0.65,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.32,,,
male,1,group D,4,master's degree,1,standard,0,none,0,0.76,0.75,0.65,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.32,,,
female,0,group A,1,bachelor's degree,3,standard,0,none,0,0.33,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.32,,,
male,1,group D,4,master's degree,1,standard,0,none,0,0.85,0.78,0.76,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.33,,,
male,1,group C,3,some high school,6,free/reduced,1,completed,1,0.36,0.12,0.18,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.33,,,
male,1,group E,5,some college,4,free/reduced,1,completed,1,0.83,0.64,0.59,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.33,,,
female,0,group C,3,some college,4,standard,0,completed,1,0.66,0.74,0.79,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.33,,,
male,1,group D,4,bachelor's degree,3,free/reduced,1,completed,1,0.65,0.71,0.66,,,,,,,,,,,,,,,,,,,,,,0.31,0.33,0.33,,,
male,1,group C,3,bachelor's degree,3,standard,0,none,0,0.43,0.37,0.29,,,,,,,,,,,,,,,,,,,,,,0.31,0.34,0.33,,,
male,1,group B,2,some high school,6,standard,0,completed,1,0.33,0.36,0.2,,,,,,,,,,,,,,,,,,,,,,0.31,0.34,0.33,,,
male,1,group E,5,high school,5,standard,0,none,0,0.59,0.37,0.4,,,,,,,,,,,,,,,,,,,,,,0.31,0.34,0.33,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.44,0.53,0.55,,,,,,,,,,,,,,,,,,,,,,0.31,0.34,0.33,,,
male,1,group D,4,some college,4,standard,0,completed,1,0.61,0.46,0.58,,,,,,,,,,,,,,,,,,,,,,0.31,0.34,0.33,,,
female,0,group D,4,some high school,6,standard,0,none,0,0.68,0.61,0.61,,,,,,,,,,,,,,,,,,,,,,0.31,0.34,0.33,,,
female,0,group C,3,some college,4,free/reduced,1,none,0,0.44,0.47,0.51,,,,,,,,,,,,,,,,,,,,,,0.32,0.34,0.33,,,
female,0,group E,5,some college,4,free/reduced,1,completed,1,0.21,0.37,0.37,,,,,,,,,,,,,,,,,,,,,,0.32,0.34,0.33,,,
male,1,group A,1,high school,5,standard,0,none,0,0.42,0.2,0.28,,,,,,,,,,,,,,,,,,,,,,0.32,0.34,0.33,,,
male,1,group D,4,some college,4,standard,0,none,0,0.84,0.62,0.7,,,,,,,,,,,,,,,,,,,,,,0.32,0.34,0.33,,,
female,0,group C,3,some college,4,free/reduced,1,none,0,0,0.15,0.09,,,,,,,,,,,,,,,,,,,,,,0.32,0.34,0.33,,,
male,1,group B,2,some high school,6,standard,0,none,0,0.84,0.78,0.66,,,,,,,,,,,,,,,,,,,,,,0.32,0.34,0.33,,,
male,1,group C,3,associate's degree,2,free/reduced,1,none,0,0.64,0.55,0.54,,,,,,,,,,,,,,,,,,,,,,0.32,0.34,0.35,,,
female,0,group D,4,bachelor's degree,3,standard,0,completed,1,0.57,0.65,0.74,,,,,,,,,,,,,,,,,,,,,,0.32,0.36,0.35,,,
male,1,group E,5,associate's degree,2,free/reduced,1,completed,1,1,1,0.91,,,,,,,,,,,,,,,,,,,,,,0.32,0.36,0.35,,,
male,1,group A,1,some high school,6,standard,0,completed,1,0.48,0.54,0.58,,,,,,,,,,,,,,,,,,,,,,0.32,0.36,0.35,,,
male,1,group A,1,bachelor's degree,3,standard,0,none,0,0.69,0.54,0.57,,,,,,,,,,,,,,,,,,,,,,0.32,0.36,0.35,,,
female,0,group B,2,associate's degree,2,standard,0,completed,1,0.44,0.58,0.54,,,,,,,,,,,,,,,,,,,,,,0.32,0.36,0.35,,,
male,1,group D,4,bachelor's degree,3,standard,0,none,0,0.37,0.29,0.28,,,,,,,,,,,,,,,,,,,,,,0.32,0.36,0.35,,,
male,1,group D,4,some high school,6,standard,0,none,0,0.48,0.54,0.47,,,,,,,,,,,,,,,,,,,,,,0.32,0.36,0.35,,,
female,0,group C,3,some college,4,standard,0,completed,1,0.59,0.85,0.84,,,,,,,,,,,,,,,,,,,,,,0.32,0.36,0.35,,,
female,0,group E,5,high school,5,free/reduced,1,completed,1,0.54,0.64,0.7,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
male,1,group B,2,some college,4,free/reduced,1,none,0,0.46,0.44,0.46,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
female,0,group B,2,associate's degree,2,standard,0,completed,1,0.47,0.81,0.83,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
male,1,group D,4,associate's degree,2,free/reduced,1,none,0,0.54,0.47,0.51,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
male,1,group B,2,associate's degree,2,free/reduced,1,completed,1,0.76,0.7,0.65,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
female,0,group E,5,some college,4,free/reduced,1,completed,1,0.66,0.84,0.8,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
male,1,group B,2,master's degree,1,free/reduced,1,none,0,0.31,0.34,0.35,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
male,1,group C,3,high school,5,standard,0,none,0,0.35,0.34,0.31,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
female,0,group E,5,master's degree,1,standard,0,none,0,0.74,0.89,0.88,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
female,0,group C,3,bachelor's degree,3,standard,0,completed,1,0.95,1,1,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,0.35,,,
male,1,group C,3,high school,5,free/reduced,1,completed,1,0.36,0.31,0.33,,,,,,,,,,,,,,,,,,,,,,0.33,0.37,0.35,,,
female,0,group B,2,master's degree,1,free/reduced,1,completed,1,0.43,0.67,0.7,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group B,2,high school,5,standard,0,completed,1,0.57,0.77,0.7,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group C,3,some college,4,free/reduced,1,completed,1,0.55,0.65,0.59,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
male,1,group A,1,high school,5,standard,0,completed,1,0.62,0.62,0.65,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
male,1,group E,5,some high school,6,standard,0,none,0,0.92,0.84,0.7,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group D,4,some college,4,standard,0,none,0,0.72,0.81,0.74,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.5,0.54,0.59,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group C,3,bachelor's degree,3,free/reduced,1,completed,1,0.22,0.31,0.37,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group C,3,master's degree,1,standard,0,completed,1,0.74,0.88,0.83,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group B,2,high school,5,free/reduced,1,completed,1,0.27,0.36,0.43,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group C,3,associate's degree,2,standard,0,completed,1,0.61,0.68,0.69,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group B,2,master's degree,1,free/reduced,1,completed,1,0.35,0.58,0.48,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group D,4,some high school,6,standard,0,completed,1,0.96,1,1,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
male,1,group C,3,master's degree,1,free/reduced,1,completed,1,0.48,0.55,0.66,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
female,0,group C,3,some college,4,free/reduced,1,none,0,0.27,0.5,0.54,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,0.36,,,
